player_name,team,position,nation,pass_accuracy,passes_attempted,passes_completed,cross_accuracy,crosses_attempted,crosses_completed,free_kicks
Pape Sarr,Tottenham,UNKNOWN,SEN,88.34,304.0,267.0,100.0,1.0,1.0,4.0
Lamine Camara,Monaco,UNKNOWN,SEN,88.34,275.0,245.0,22.73,22.0,5.0,15.0
Josip Stanišić,Bayern München,UNKNOWN,CRO,88.34,252.0,223.0,25.0,4.0,1.0,1.0
Sergiño Dest,PSV,FULL_BACK,USA,88.34,243.0,210.0,16.67,12.0,2.0,3.0
Eric Dier,Monaco,DEFENSIVE_MIDFIELDER,ENG,88.34,131.0,118.0,0.0,0.0,0.0,8.0
Petar Sučić,Inter,UNKNOWN,CRO,88.3,274.0,244.0,20.0,5.0,1.0,7.0
Kaan Ayhan,Galatasaray,CENTRE_BACK,TUR,88.25,33.0,29.0,0.0,0.0,0.0,1.0
Tomás Araújo,Benfica,CENTRE_BACK,POR,88.23,367.0,317.0,0.0,0.0,0.0,17.0
Raul Moro,Ajax,UNKNOWN,ESP,88.2,55.0,44.0,14.29,7.0,1.0,0.0
Mario Götze,Frankfurt,STRIKER,GER,88.15,207.0,182.0,0.0,4.0,0.0,1.0
Jamie Gittens,Chelsea,UNKNOWN,ENG,88.15,84.0,75.0,36.37,11.0,4.0,0.0
Éderson,Atalanta,UNKNOWN,BRA,88.12,426.0,382.0,40.0,5.0,2.0,19.0
Jordan Teze,Monaco,FULL_BACK,NED,88.12,309.0,267.0,23.08,13.0,3.0,12.0
Ibrahima Konaté,Liverpool,CENTRE_BACK,FRA,88.0,364.0,325.0,0.0,0.0,0.0,10.0
Luis Henrique,Inter,UNKNOWN,BRA,88.0,202.0,177.0,27.78,18.0,5.0,2.0
Diatta Alassane,Villarreal,MIDFIELDER,SEN,88.0,26.0,23.0,0.0,0.0,0.0,0.0
Darryl Bakola,Marseille,MIDFIELDER,FRA,88.0,25.0,22.0,0.0,2.0,0.0,0.0
Deniz Ofli,Bayern München,UNKNOWN,TUR,88.0,17.0,15.0,0.0,2.0,0.0,0.0
Panagiotis Retsos,Olympiacos,CENTRE_BACK,GRE,87.89,373.0,335.0,0.0,1.0,0.0,9.0
Martin Zubimendi,Arsenal,DEFENSIVE_MIDFIELDER,ESP,87.88,438.0,387.0,100.0,3.0,3.0,6.0
Fabián Ruiz,Paris,CENTRAL_MIDFIELDER,ESP,87.84,319.0,283.0,0.0,3.0,0.0,8.0
Aleksandr Martynovich,Kairat Almaty,CENTRE_BACK,BLR,87.8,303.0,273.0,100.0,1.0,1.0,10.0
João Palhinha,Tottenham,DEFENSIVE_MIDFIELDER,POR,87.75,245.0,217.0,0.0,0.0,0.0,5.0
Birger Meling,Copenhagen,FULL_BACK,NOR,87.75,77.0,65.0,0.0,2.0,0.0,2.0
Piero Hincapié,Arsenal,UNKNOWN,ECU,87.67,168.0,147.0,0.0,5.0,0.0,2.0
Kevin De Bruyne,Napoli,ATTACKING_MIDFIELDER,BEL,87.67,81.0,68.0,28.58,7.0,2.0,3.0
David Alaba,Real Madrid,FULL_BACK,AUT,87.67,78.0,69.0,0.0,0.0,0.0,0.0
Amine Gouiri,Marseille,STRIKER,ALG,87.67,57.0,48.0,33.34,6.0,2.0,0.0
Xavi Simons,Tottenham,UNKNOWN,NED,87.6,322.0,285.0,33.34,12.0,4.0,8.0
Emmanuel Addai,Qarabağ,UNKNOWN,GHA,87.6,112.0,94.0,16.67,6.0,1.0,2.0
Hamed Traorè,Marseille,UNKNOWN,CIV,87.5,38.0,33.0,0.0,0.0,0.0,0.0
Nathan Tella,Leverkusen,UNKNOWN,NGA,87.5,10.0,9.0,0.0,1.0,0.0,0.0
Hidemasa Morita,Sporting CP,UNKNOWN,JPN,87.45,182.0,156.0,66.67,3.0,2.0,6.0
